Name,Primary_Color,All_Colors,Price,Price_Numeric,Status,Badges,Product_URL
Pleated Trousers,Black,Black,"LE 1,000.00",1000.00,Restocked,"Men, Restocked, Pants",https://ystudios.net/products/tailored-pants?variant=46220584714395
Premium Heavyweight Regular Fit T-Shirt,White,White,LE 700.00,700.00,Available,"Men, New Arrivals, Shirts",https://ystudios.net/products/premium-heavyweight-regular-fit-t-shirt?variant=48240575512731
Premium Midweight Slim Fit T-Shirt,White,White,LE 700.00,700.00,Available,"Men, New Arrivals, Shirts",https://ystudios.net/products/premium-slim-fit-t-shirt?variant=48247415406747
Straight Relaxed Fit Jeans,Light Blue,Light Blue,"LE 1,400.00",1400.00,Available,"Men, New Arrivals, Pants",https://ystudios.net/products/straight-fit-jeans?variant=48240311107739
Knit T-Shirt,White,White,"LE 1,050.00",1050.00,Available,"Men, New Arrivals, Shirts",https://ystudios.net/products/knit-t-shirt?variant=48240310452379
Knit Ringer T-Shirt,White,White,"LE 1,100.00",1100.00,Available,"Men, New Arrivals, Shirts",https://ystudios.net/products/knit-ringer-t-shirt?variant=48240310747291
Striped Pants,Blue and White Striped,Blue and White Striped,LE 950.00,950.00,Available,"Men, New Arrivals, Pants",https://ystudios.net/products/striped-pants?variant=48240310976667
Penny Loafers,N/A,N/A,"LE 1,650.00",1650.00,Available,"Men, Bestseller, Shoes",https://ystudios.net/products/loafers?variant=47893101052059
Knit Polo T-Shirt,White,White,"LE 1,200.00",1200.00,Available,"Men, New Arrivals, Shirts",https://ystudios.net/products/knit-polo-t-shirt?variant=48240310583451
Short Sleeve Henley T-Shirt,White,White,LE 700.00,700.00,Sold Out,"Men, New Arrivals, Shirts",https://ystudios.net/products/short-sleeve-henley-t-shirt?variant=48240311238811
Knit Striped T-Shirt,Navy,Navy,"LE 1,100.00",1100.00,Available,"Men, New Arrivals, Shirts",https://ystudios.net/products/knit-striped-t-shirt?variant=48240310845595
Cap,Black,Black,LE 400.00,400.00,Available,"Unisex, New Arrivals, Hats",https://ystudios.net/products/cap?variant=48240311369883
